uid,from_uid,num_filters_1,dropout_1,num_filters_2,dropout_2,layer_1_Neurons,dense_activation_1,layer_2_Neurons,dense_activation_2,learning_rate,loss,val_loss,accuracy,val_accuracy
0,,32,0.5,128,0.45,64,sigmoid,64,sigmoid,0.00028078309037793175,1.7857366800308228,1.78473961353302,0.9995644688606262,0.9982584714889526
1,,64,0.25,128,0.2,256,tanh,64,relu,0.00304325168554751,1.8492512702941895,1.8080644607543945,0.19850187003612518,0.19888541102409363
2,,128,0.45,64,0.05,160,sigmoid,256,tanh,0.003964886305018653,1.8930307626724243,1.9311176538467407,0.18517550826072693,0.19888541102409363
3,,32,0.05,64,0.25,96,tanh,384,relu,0.0038287047044982298,1.8072948455810547,1.7894912958145142,0.19850187003612518,0.19888541102409363
4,,32,0.2,32,0.1,64,tanh,480,sigmoid,0.0033137745378583987,1.8332079648971558,1.7996262311935425,0.1973695605993271,0.19888541102409363
5,,64,0.1,64,0.2,96,sigmoid,96,sigmoid,0.008316141310476274,1.803492784500122,1.7903767824172974,0.1983276754617691,0.19888541102409363
6,,128,0.35000000000000003,32,0.05,160,tanh,416,tanh,0.00011510936029076842,1.0201034545898438,0.1306607723236084,0.9996516108512878,0.9979101419448853
7,,32,0.45,128,0.1,384,tanh,288,relu,0.001047217795168058,1.8750699758529663,1.817104697227478,0.1991986781358719,0.19888541102409363
8,,32,0.5,32,0.30000000000000004,64,relu,320,sigmoid,0.00042743529195715565,1.4909732341766357,0.583534836769104,0.9992160797119141,0.9986067414283752
9,,64,0.25,64,0.35000000000000003,320,relu,128,relu,0.0034928656354620575,1.875401496887207,1.787175178527832,0.19850187003612518,0.19888541102409363
10,,128,0.30000000000000004,32,0.2,448,relu,320,tanh,0.00013874425681542553,0.8662488460540771,0.07502236217260361,0.9996516108512878,0.9979101419448853
11,,64,0.35000000000000003,64,0.5,128,sigmoid,256,sigmoid,0.0023361709154431664,1.816595196723938,1.8283398151397705,0.19728246331214905,0.19888541102409363
12,,64,0.05,128,0.05,288,relu,32,relu,0.0002868519531845337,0.42833372950553894,0.029940646141767502,0.9995644688606262,0.9979101419448853
13,,128,0.15000000000000002,64,0.4,192,tanh,416,tanh,0.00011465640987948183,0.6590890288352966,0.03597021475434303,0.9991289973258972,0.9982584714889526
14,,32,0.45,32,0.05,320,tanh,96,tanh,0.006316082000245691,1.8616875410079956,1.8613232374191284,0.1842174082994461,0.19888541102409363
15,,64,0.2,128,0.25,64,sigmoid,224,sigmoid,0.004263664986805526,1.818194031715393,1.8004209995269775,0.197195366024971,0.19888541102409363
16,,128,0.30000000000000004,128,0.05,192,relu,64,tanh,0.00015188551736259345,0.7907475829124451,0.09566236287355423,0.9996516108512878,0.9982584714889526
17,,64,0.2,32,0.25,160,sigmoid,224,sigmoid,0.0006201914963139159,1.768136978149414,1.650334119796753,0.9995644688606262,0.9979101419448853
18,,32,0.25,32,0.45,480,tanh,352,sigmoid,0.00030969640670569564,0.9102728366851807,0.11488629877567291,0.9995644688606262,0.9979101419448853
19,,32,0.15000000000000002,32,0.35000000000000003,256,tanh,480,sigmoid,0.002570345329777908,1.8407280445098877,1.8458068370819092,0.18256250023841858,0.19888541102409363
